FECHA;USD;EURO
14/06/2017;2924.75;3276.6
15/06/2017;2953.83;3298.25
16/06/2017;2961.68;3307.31
17/06/2017;2961.68;3307.31
18/06/2017;2961.68;3307.31
19/06/2017;2961.68;3307.31
20/06/2017;3029.53;3379.74
21/06/2017;3053.9;3404.18
22/06/2017;3035.83;3390.72
23/06/2017;3010.68;3363.83
24/06/2017;3010.68;3363.83
25/06/2017;3010.68;3363.83
26/06/2017;3010.68;3363.83
27/06/2017;3025.28;3411.91
28/06/2017;3023.64;3439.39
29/06/2017;3038.26;3467.57
30/06/2017;3050.43;3481.15
01/07/2017;3050.43;3481.15
02/07/2017;3050.43;3481.15
03/07/2017;3050.43;3481.15
04/07/2017;3050.43;3463.15
05/07/2017;3068.93;3476.79
06/07/2017;3084.19;3511.35
07/07/2017;3092.65;3529.33
08/07/2017;3092.65;3529.33
09/07/2017;3092.65;3529.33
10/07/2017;3067.33;3492.77
11/07/2017;3067.73;3498.75
12/07/2017;3052.3;3494.58
13/07/2017;3043.6;3474.88
14/07/2017;3019.56;3446.83
15/07/2017;3019.56;3446.83
16/07/2017;3019.56;3446.83
17/07/2017;3030.6;3473.67
18/07/2017;3013.26;3481.82
19/07/2017;3010;3471.43
20/07/2017;3010;3471.43
21/07/2017;3010.77;3505.14
22/07/2017;3010.77;3505.14
23/07/2017;3010.77;3505.14
24/07/2017;3023.67;3521.97
25/07/2017;3026.55;3539.25
26/07/2017;3026.22;3523.73
27/07/2017;3002.94;3511.64
28/07/2017;2995.23;3513.11
29/07/2017;2995.23;3513.11
30/07/2017;2995.23;3513.11
31/07/2017;2997.59;3515.27
01/08/2017;2973.03;3511.74
02/08/2017;2964.66;3506.9
03/08/2017;2954.54;3504.08
04/08/2017;2974.39;3530.01
05/08/2017;2974.39;3530.01
06/08/2017;2974.39;3530.01
07/08/2017;2974.39;3530.01
08/08/2017;2994.62;3537.84
09/08/2017;3011.14;3532.37
10/08/2017;2994.85;3513.56
11/08/2017;2984.99;3511.84
12/08/2017;2984.99;3511.84
13/08/2017;2984.99;3511.84
14/08/2017;2966.54;3499.63
15/08/2017;2974.7;3493.49
16/08/2017;2967.32;3474.73
17/08/2017;2980.03;3485.74
18/08/2017;2994.39;3515.41
19/08/2017;2994.39;3515.41
20/08/2017;2994.39;3515.41
21/08/2017;2994.39;3515.41
22/08/2017;2986.83;3515.8
23/08/2017;2986.88;3524.22
24/08/2017;2972.98;3509.9
25/08/2017;2933.96;3464.42
26/08/2017;2933.96;3464.42
27/08/2017;2933.96;3464.42
28/08/2017;2934.23;3499.07
29/08/2017;2940.35;3542.53
30/08/2017;2937.09;3499.84
31/08/2017;2948.09;3486.12
01/09/2017;2936.07;3499.8
02/09/2017;2936.07;3499.8
03/09/2017;2936.07;3499.8
04/09/2017;2936.07;3495.39
05/09/2017;2923.49;3476.03
06/09/2017;2919.5;3483.26
07/09/2017;2907.96;3481.12
08/09/2017;2909.15;3508.43
09/09/2017;2909.15;3508.43
10/09/2017;2909.15;3508.43
11/09/2017;2916.1;3498.45
12/09/2017;2923.03;3488.05
13/09/2017;2909.52;3485.31
14/09/2017;2905.98;3453.76
15/09/2017;2897.83;3466.67
16/09/2017;2897.83;3466.67
17/09/2017;2897.83;3466.67
18/09/2017;2906.06;3472.16
19/09/2017;2904.6;3477.39
20/09/2017;2893.18;3473.84
21/09/2017;2913.96;3469.07
22/09/2017;2900.73;3469.56
23/09/2017;2900.73;3469.56
24/09/2017;2900.73;3469.56
25/09/2017;2924.57;3470.59
26/09/2017;2930.7;3454.42
27/09/2017;2940.66;3452.63
28/09/2017;2941.07;3463.99
29/09/2017;2936.67;3467.03
30/09/2017;2936.67;3467.03
01/10/2017;2936.67;3467.03
02/10/2017;2949.33;3463.69
03/10/2017;2953.81;3471.61
04/10/2017;2945.59;3471.97
05/10/2017;2926.82;3436.67
06/10/2017;2942.19;3444.42
07/10/2017;2942.19;3444.42
08/10/2017;2942.19;3444.42
09/10/2017;2942.19;3455.9
10/10/2017;2947.06;3476.65
11/10/2017;2953.77;3494.31
12/10/2017;2949.69;3497.15
13/10/2017;2932.05;3462.75
14/10/2017;2932.05;3462.75
15/10/2017;2932.05;3462.75
16/10/2017;2932.05;3462.75
17/10/2017;2944.27;3462.17
18/10/2017;2935.66;3449.11
19/10/2017;2921.92;3457.8
20/10/2017;2936.66;3470.54
21/10/2017;2936.66;3470.54
22/10/2017;2936.66;3470.54
23/10/2017;2947.69;3460.59
24/10/2017;2971.36;3494.62
25/10/2017;2989.39;3523
26/10/2017;3008.8;3536.24
27/10/2017;3009.85;3492.93
28/10/2017;3009.85;3492.93
29/10/2017;3009.85;3492.93
30/10/2017;3011.44;3496.88
31/10/2017;3039.19;3537.01
01/11/2017;3038.56;3528.38
02/11/2017;3054.38;3556.83
03/11/2017;3055.57;3561.88
04/11/2017;3055.57;3561.88
05/11/2017;3055.57;3561.88
06/11/2017;3055.57;3561.88
07/11/2017;3026.94;3499.75
08/11/2017;3017.78;3497.61
09/11/2017;3015.52;3507.05
10/11/2017;3004.88;3501.89
11/11/2017;3004.88;3501.89
12/11/2017;3004.88;3501.89
13/11/2017;3004.88;3501.89
14/11/2017;3016.7;3543.11
15/11/2017;3023.88;3580.27
16/11/2017;3015.79;3549.89
17/11/2017;3003.19;3542.26
18/11/2017;3003.19;3542.26
19/11/2017;3003.19;3542.26
20/11/2017;3011.32;3547.64
21/11/2017;3001.07;3516.65
22/11/2017;2982.73;3504.41
23/11/2017;2982.73;3533.94
24/11/2017;2976.39;3535.06
25/11/2017;2976.39;3535.06
26/11/2017;2976.39;3535.06
27/11/2017;2986.84;3569.87
28/11/2017;3003.94;3571.08
29/11/2017;3006.09;3555.3
30/11/2017;3006.04;3561.86
01/12/2017;3005.76;3572.35
02/12/2017;3005.76;3572.35
03/12/2017;3005.76;3572.35
04/12/2017;2993.49;3551.78
05/12/2017;2996.53;3549.99
06/12/2017;3007.07;3553.45
07/12/2017;3016.18;3554.87
08/12/2017;3016.18;3554.87
09/12/2017;3016.18;3554.87
10/12/2017;3016.18;3554.87
11/12/2017;3013.99;3555.3
12/12/2017;3029.75;3564.8
13/12/2017;3015.41;3538.89
14/12/2017;2999.07;3552.4
15/12/2017;2996.61;3537.8
16/12/2017;2996.61;3537.8
17/12/2017;2996.61;3537.8
18/12/2017;2975.59;3509.71
19/12/2017;2972.05;3513.85
20/12/2017;2965.77;3512.95
21/12/2017;2963.58;3514.51
22/12/2017;2962.14;3511.02
23/12/2017;2962.14;3511.02
24/12/2017;2962.14;3511.02
25/12/2017;2962.14;3511.02
26/12/2017;2962.26;3511.17
27/12/2017;2971.63;3534.75
28/12/2017;2984;3561.11
29/12/2017;2984;3561.11
30/12/2017;2984;3561.11
31/12/2017;2984;3561.11
